keyword_idx,region,match_type
20,USA,Broad match
20,USA,Exact match
20,USA,Phrase match
20,A,Broad match
20,A,Exact match
20,A,Phrase match
20,B,Broad match
20,B,Exact match
20,B,Phrase match
20,C,Broad match
20,C,Exact match
20,C,Phrase match
21,USA,Broad match
21,USA,Exact match
21,USA,Phrase match
21,A,Broad match
21,A,Exact match
21,A,Phrase match
21,B,Broad match
21,B,Exact match
21,B,Phrase match
21,C,Broad match
21,C,Exact match
21,C,Phrase match
22,USA,Broad match
22,USA,Exact match
22,USA,Phrase match
22,A,Broad match
22,A,Exact match
22,A,Phrase match
22,B,Broad match
22,B,Exact match
22,B,Phrase match
22,C,Broad match
22,C,Exact match
22,C,Phrase match
23,USA,Broad match
23,USA,Exact match
23,USA,Phrase match
23,A,Broad match
23,A,Exact match
23,A,Phrase match
23,B,Broad match
23,B,Exact match
23,B,Phrase match
23,C,Broad match
23,C,Exact match
23,C,Phrase match
24,USA,Broad match
24,USA,Exact match
24,USA,Phrase match
24,A,Broad match
24,A,Exact match
24,A,Phrase match
24,B,Broad match
24,B,Exact match
24,B,Phrase match
24,C,Broad match
24,C,Exact match
24,C,Phrase match
25,USA,Broad match
25,USA,Exact match
25,USA,Phrase match
25,A,Broad match
25,A,Exact match
25,A,Phrase match
25,B,Broad match
25,B,Exact match
25,B,Phrase match
25,C,Broad match
25,C,Exact match
25,C,Phrase match
26,USA,Broad match
26,USA,Exact match
26,USA,Phrase match
26,A,Broad match
26,A,Exact match
26,A,Phrase match
26,B,Broad match
26,B,Exact match
26,B,Phrase match
26,C,Broad match
26,C,Exact match
26,C,Phrase match
27,USA,Broad match
27,USA,Exact match
27,USA,Phrase match
27,A,Broad match
27,A,Exact match
27,A,Phrase match
27,B,Broad match
27,B,Exact match
27,B,Phrase match
27,C,Broad match
27,C,Exact match
27,C,Phrase match
28,USA,Broad match
28,USA,Exact match
28,USA,Phrase match
28,A,Broad match
28,A,Exact match
28,A,Phrase match
28,B,Broad match
28,B,Exact match
28,B,Phrase match
28,C,Broad match
28,C,Exact match
28,C,Phrase match
29,USA,Broad match
29,USA,Exact match
29,USA,Phrase match
29,A,Broad match
29,A,Exact match
29,A,Phrase match
29,B,Broad match
29,B,Exact match
29,B,Phrase match
29,C,Broad match
29,C,Exact match
29,C,Phrase match
30,USA,Broad match
30,USA,Exact match
30,USA,Phrase match
30,A,Broad match
30,A,Exact match
30,A,Phrase match
30,B,Broad match
30,B,Exact match
30,B,Phrase match
30,C,Broad match
30,C,Exact match
30,C,Phrase match
31,USA,Broad match
31,USA,Exact match
31,USA,Phrase match
31,A,Broad match
31,A,Exact match
31,A,Phrase match
31,B,Broad match
31,B,Exact match
31,B,Phrase match
31,C,Broad match
31,C,Exact match
31,C,Phrase match
32,USA,Broad match
32,USA,Exact match
32,USA,Phrase match
32,A,Broad match
32,A,Exact match
32,A,Phrase match
32,B,Broad match
32,B,Exact match
32,B,Phrase match
32,C,Broad match
32,C,Exact match
32,C,Phrase match
33,USA,Broad match
33,USA,Exact match
33,USA,Phrase match
33,A,Broad match
33,A,Exact match
33,A,Phrase match
33,B,Broad match
33,B,Exact match
33,B,Phrase match
33,C,Broad match
33,C,Exact match
33,C,Phrase match
34,USA,Broad match
34,USA,Exact match
34,USA,Phrase match
34,A,Broad match
34,A,Exact match
34,A,Phrase match
34,B,Broad match
34,B,Exact match
34,B,Phrase match
34,C,Broad match
34,C,Exact match
34,C,Phrase match
35,USA,Broad match
35,USA,Exact match
35,USA,Phrase match
35,A,Broad match
35,A,Exact match
35,A,Phrase match
35,B,Broad match
35,B,Exact match
35,B,Phrase match
35,C,Broad match
35,C,Exact match
35,C,Phrase match
36,USA,Broad match
36,USA,Exact match
36,USA,Phrase match
36,A,Broad match
36,A,Exact match
36,A,Phrase match
36,B,Broad match
36,B,Exact match
36,B,Phrase match
36,C,Broad match
36,C,Exact match
36,C,Phrase match
37,USA,Broad match
37,USA,Exact match
37,USA,Phrase match
37,A,Broad match
37,A,Exact match
37,A,Phrase match
37,B,Broad match
37,B,Exact match
37,B,Phrase match
37,C,Broad match
37,C,Exact match
37,C,Phrase match
38,USA,Broad match
38,USA,Exact match
38,USA,Phrase match
38,A,Broad match
38,A,Exact match
38,A,Phrase match
38,B,Broad match
38,B,Exact match
38,B,Phrase match
38,C,Broad match
38,C,Exact match
38,C,Phrase match
39,USA,Broad match
39,USA,Exact match
39,USA,Phrase match
39,A,Broad match
39,A,Exact match
39,A,Phrase match
39,B,Broad match
39,B,Exact match
39,B,Phrase match
39,C,Broad match
39,C,Exact match
39,C,Phrase match
40,USA,Broad match
40,USA,Exact match
40,USA,Phrase match
40,A,Broad match
40,A,Exact match
40,A,Phrase match
40,B,Broad match
40,B,Exact match
40,B,Phrase match
40,C,Broad match
40,C,Exact match
40,C,Phrase match
41,USA,Broad match
41,USA,Exact match
41,USA,Phrase match
41,A,Broad match
41,A,Exact match
41,A,Phrase match
41,B,Broad match
41,B,Exact match
41,B,Phrase match
41,C,Broad match
41,C,Exact match
41,C,Phrase match
42,USA,Broad match
42,USA,Exact match
42,USA,Phrase match
42,A,Broad match
42,A,Exact match
42,A,Phrase match
42,B,Broad match
42,B,Exact match
42,B,Phrase match
42,C,Broad match
42,C,Exact match
42,C,Phrase match
43,USA,Broad match
43,USA,Exact match
43,USA,Phrase match
43,A,Broad match
43,A,Exact match
43,A,Phrase match
43,B,Broad match
43,B,Exact match
43,B,Phrase match
43,C,Broad match
43,C,Exact match
43,C,Phrase match
44,USA,Broad match
44,USA,Exact match
44,USA,Phrase match
44,A,Broad match
44,A,Exact match
44,A,Phrase match
44,B,Broad match
44,B,Exact match
44,B,Phrase match
44,C,Broad match
44,C,Exact match
44,C,Phrase match
45,USA,Broad match
45,USA,Exact match
45,USA,Phrase match
45,A,Broad match
45,A,Exact match
45,A,Phrase match
45,B,Broad match
45,B,Exact match
45,B,Phrase match
45,C,Broad match
45,C,Exact match
45,C,Phrase match
46,USA,Broad match
46,USA,Exact match
46,USA,Phrase match
46,A,Broad match
46,A,Exact match
46,A,Phrase match
46,B,Broad match
46,B,Exact match
46,B,Phrase match
46,C,Broad match
46,C,Exact match
46,C,Phrase match
47,USA,Broad match
47,USA,Exact match
47,USA,Phrase match
47,A,Broad match
47,A,Exact match
47,A,Phrase match
47,B,Broad match
47,B,Exact match
47,B,Phrase match
47,C,Broad match
47,C,Exact match
47,C,Phrase match
48,USA,Broad match
48,USA,Exact match
48,USA,Phrase match
48,A,Broad match
48,A,Exact match
48,A,Phrase match
48,B,Broad match
48,B,Exact match
48,B,Phrase match
48,C,Broad match
48,C,Exact match
48,C,Phrase match
49,USA,Broad match
49,USA,Exact match
49,USA,Phrase match
49,A,Broad match
49,A,Exact match
49,A,Phrase match
49,B,Broad match
49,B,Exact match
49,B,Phrase match
49,C,Broad match
49,C,Exact match
49,C,Phrase match
50,USA,Broad match
50,USA,Exact match
50,USA,Phrase match
50,A,Broad match
50,A,Exact match
50,A,Phrase match
50,B,Broad match
50,B,Exact match
50,B,Phrase match
50,C,Broad match
50,C,Exact match
50,C,Phrase match
51,USA,Broad match
51,USA,Exact match
51,USA,Phrase match
51,A,Broad match
51,A,Exact match
51,A,Phrase match
51,B,Broad match
51,B,Exact match
51,B,Phrase match
51,C,Broad match
51,C,Exact match
51,C,Phrase match
52,USA,Broad match
52,USA,Exact match
52,USA,Phrase match
52,A,Broad match
52,A,Exact match
52,A,Phrase match
52,B,Broad match
52,B,Exact match
52,B,Phrase match
52,C,Broad match
52,C,Exact match
52,C,Phrase match
53,USA,Broad match
53,USA,Exact match
53,USA,Phrase match
53,A,Broad match
53,A,Exact match
53,A,Phrase match
53,B,Broad match
53,B,Exact match
53,B,Phrase match
53,C,Broad match
53,C,Exact match
53,C,Phrase match
54,USA,Broad match
54,USA,Exact match
54,USA,Phrase match
54,A,Broad match
54,A,Exact match
54,A,Phrase match
54,B,Broad match
54,B,Exact match
54,B,Phrase match
54,C,Broad match
54,C,Exact match
54,C,Phrase match
55,USA,Broad match
55,USA,Exact match
55,USA,Phrase match
55,A,Broad match
55,A,Exact match
55,A,Phrase match
55,B,Broad match
55,B,Exact match
55,B,Phrase match
55,C,Broad match
55,C,Exact match
55,C,Phrase match
56,USA,Broad match
56,USA,Exact match
56,USA,Phrase match
56,A,Broad match
56,A,Exact match
56,A,Phrase match
56,B,Broad match
56,B,Exact match
56,B,Phrase match
56,C,Broad match
56,C,Exact match
56,C,Phrase match
57,USA,Broad match
57,USA,Exact match
57,USA,Phrase match
57,A,Broad match
57,A,Exact match
57,A,Phrase match
57,B,Broad match
57,B,Exact match
57,B,Phrase match
57,C,Broad match
57,C,Exact match
57,C,Phrase match
58,USA,Broad match
58,USA,Exact match
58,USA,Phrase match
58,A,Broad match
58,A,Exact match
58,A,Phrase match
58,B,Broad match
58,B,Exact match
58,B,Phrase match
58,C,Broad match
58,C,Exact match
58,C,Phrase match
59,USA,Broad match
59,USA,Exact match
59,USA,Phrase match
59,A,Broad match
59,A,Exact match
59,A,Phrase match
59,B,Broad match
59,B,Exact match
59,B,Phrase match
59,C,Broad match
59,C,Exact match
59,C,Phrase match
60,USA,Broad match
60,USA,Exact match
60,USA,Phrase match
60,A,Broad match
60,A,Exact match
60,A,Phrase match
60,B,Broad match
60,B,Exact match
60,B,Phrase match
60,C,Broad match
60,C,Exact match
60,C,Phrase match
61,USA,Broad match
61,USA,Exact match
61,USA,Phrase match
61,A,Broad match
61,A,Exact match
61,A,Phrase match
61,B,Broad match
61,B,Exact match
61,B,Phrase match
61,C,Broad match
61,C,Exact match
61,C,Phrase match
62,USA,Broad match
62,USA,Exact match
62,USA,Phrase match
62,A,Broad match
62,A,Exact match
62,A,Phrase match
62,B,Broad match
62,B,Exact match
62,B,Phrase match
62,C,Broad match
62,C,Exact match
62,C,Phrase match
63,USA,Broad match
63,USA,Exact match
63,USA,Phrase match
63,A,Broad match
63,A,Exact match
63,A,Phrase match
63,B,Broad match
63,B,Exact match
63,B,Phrase match
63,C,Broad match
63,C,Exact match
63,C,Phrase match
64,USA,Broad match
64,USA,Exact match
64,USA,Phrase match
64,A,Broad match
64,A,Exact match
64,A,Phrase match
64,B,Broad match
64,B,Exact match
64,B,Phrase match
64,C,Broad match
64,C,Exact match
64,C,Phrase match
65,USA,Broad match
65,USA,Exact match
65,USA,Phrase match
65,A,Broad match
65,A,Exact match
65,A,Phrase match
65,B,Broad match
65,B,Exact match
65,B,Phrase match
65,C,Broad match
65,C,Exact match
65,C,Phrase match
66,USA,Broad match
66,USA,Exact match
66,USA,Phrase match
66,A,Broad match
66,A,Exact match
66,A,Phrase match
66,B,Broad match
66,B,Exact match
66,B,Phrase match
66,C,Broad match
66,C,Exact match
66,C,Phrase match
67,USA,Broad match
67,USA,Exact match
67,USA,Phrase match
67,A,Broad match
67,A,Exact match
67,A,Phrase match
67,B,Broad match
67,B,Exact match
67,B,Phrase match
67,C,Broad match
67,C,Exact match
67,C,Phrase match
68,USA,Broad match
68,USA,Exact match
68,USA,Phrase match
68,A,Broad match
68,A,Exact match
68,A,Phrase match
68,B,Broad match
68,B,Exact match
68,B,Phrase match
68,C,Broad match
68,C,Exact match
68,C,Phrase match
69,USA,Broad match
69,USA,Exact match
69,USA,Phrase match
69,A,Broad match
69,A,Exact match
69,A,Phrase match
69,B,Broad match
69,B,Exact match
69,B,Phrase match
69,C,Broad match
69,C,Exact match
69,C,Phrase match
70,USA,Broad match
70,USA,Exact match
70,USA,Phrase match
70,A,Broad match
70,A,Exact match
70,A,Phrase match
70,B,Broad match
70,B,Exact match
70,B,Phrase match
70,C,Broad match
70,C,Exact match
70,C,Phrase match
71,USA,Broad match
71,USA,Exact match
71,USA,Phrase match
71,A,Broad match
71,A,Exact match
71,A,Phrase match
71,B,Broad match
71,B,Exact match
71,B,Phrase match
71,C,Broad match
71,C,Exact match
71,C,Phrase match
72,USA,Broad match
72,USA,Exact match
72,USA,Phrase match
72,A,Broad match
72,A,Exact match
72,A,Phrase match
72,B,Broad match
72,B,Exact match
72,B,Phrase match
72,C,Broad match
72,C,Exact match
72,C,Phrase match
73,USA,Broad match
73,USA,Exact match
73,USA,Phrase match
73,A,Broad match
73,A,Exact match
73,A,Phrase match
73,B,Broad match
73,B,Exact match
73,B,Phrase match
73,C,Broad match
73,C,Exact match
73,C,Phrase match
74,USA,Broad match
74,USA,Exact match
74,USA,Phrase match
74,A,Broad match
74,A,Exact match
74,A,Phrase match
74,B,Broad match
74,B,Exact match
74,B,Phrase match
74,C,Broad match
74,C,Exact match
74,C,Phrase match
75,USA,Broad match
75,USA,Exact match
75,USA,Phrase match
75,A,Broad match
75,A,Exact match
75,A,Phrase match
75,B,Broad match
75,B,Exact match
75,B,Phrase match
75,C,Broad match
75,C,Exact match
75,C,Phrase match
76,USA,Broad match
76,USA,Exact match
76,USA,Phrase match
76,A,Broad match
76,A,Exact match
76,A,Phrase match
76,B,Broad match
76,B,Exact match
76,B,Phrase match
76,C,Broad match
76,C,Exact match
76,C,Phrase match
77,USA,Broad match
77,USA,Exact match
77,USA,Phrase match
77,A,Broad match
77,A,Exact match
77,A,Phrase match
77,B,Broad match
77,B,Exact match
77,B,Phrase match
77,C,Broad match
77,C,Exact match
77,C,Phrase match
78,USA,Broad match
78,USA,Exact match
78,USA,Phrase match
78,A,Broad match
78,A,Exact match
78,A,Phrase match
78,B,Broad match
78,B,Exact match
78,B,Phrase match
78,C,Broad match
78,C,Exact match
78,C,Phrase match
79,USA,Broad match
79,USA,Exact match
79,USA,Phrase match
79,A,Broad match
79,A,Exact match
79,A,Phrase match
79,B,Broad match
79,B,Exact match
79,B,Phrase match
79,C,Broad match
79,C,Exact match
79,C,Phrase match
80,USA,Broad match
80,USA,Exact match
80,USA,Phrase match
80,A,Broad match
80,A,Exact match
80,A,Phrase match
80,B,Broad match
80,B,Exact match
80,B,Phrase match
80,C,Broad match
80,C,Exact match
80,C,Phrase match
81,USA,Broad match
81,USA,Exact match
81,USA,Phrase match
81,A,Broad match
81,A,Exact match
81,A,Phrase match
81,B,Broad match
81,B,Exact match
81,B,Phrase match
81,C,Broad match
81,C,Exact match
81,C,Phrase match
82,USA,Broad match
82,USA,Exact match
82,USA,Phrase match
82,A,Broad match
82,A,Exact match
82,A,Phrase match
82,B,Broad match
82,B,Exact match
82,B,Phrase match
82,C,Broad match
82,C,Exact match
82,C,Phrase match
83,USA,Broad match
83,USA,Exact match
83,USA,Phrase match
83,A,Broad match
83,A,Exact match
83,A,Phrase match
83,B,Broad match
83,B,Exact match
83,B,Phrase match
83,C,Broad match
83,C,Exact match
83,C,Phrase match
84,USA,Broad match
84,USA,Exact match
84,USA,Phrase match
84,A,Broad match
84,A,Exact match
84,A,Phrase match
84,B,Broad match
84,B,Exact match
84,B,Phrase match
84,C,Broad match
84,C,Exact match
84,C,Phrase match
85,USA,Broad match
85,USA,Exact match
85,USA,Phrase match
85,A,Broad match
85,A,Exact match
85,A,Phrase match
85,B,Broad match
85,B,Exact match
85,B,Phrase match
85,C,Broad match
85,C,Exact match
85,C,Phrase match
86,USA,Broad match
86,USA,Exact match
86,USA,Phrase match
86,A,Broad match
86,A,Exact match
86,A,Phrase match
86,B,Broad match
86,B,Exact match
86,B,Phrase match
86,C,Broad match
86,C,Exact match
86,C,Phrase match
87,USA,Broad match
87,USA,Exact match
87,USA,Phrase match
87,A,Broad match
87,A,Exact match
87,A,Phrase match
87,B,Broad match
87,B,Exact match
87,B,Phrase match
87,C,Broad match
87,C,Exact match
87,C,Phrase match
88,USA,Broad match
88,USA,Exact match
88,USA,Phrase match
88,A,Broad match
88,A,Exact match
88,A,Phrase match
88,B,Broad match
88,B,Exact match
88,B,Phrase match
88,C,Broad match
88,C,Exact match
88,C,Phrase match
89,USA,Broad match
89,USA,Exact match
89,USA,Phrase match
89,A,Broad match
89,A,Exact match
89,A,Phrase match
89,B,Broad match
89,B,Exact match
89,B,Phrase match
89,C,Broad match
89,C,Exact match
89,C,Phrase match
90,USA,Broad match
90,USA,Exact match
90,USA,Phrase match
90,A,Broad match
90,A,Exact match
90,A,Phrase match
90,B,Broad match
90,B,Exact match
90,B,Phrase match
90,C,Broad match
90,C,Exact match
90,C,Phrase match
91,USA,Broad match
91,USA,Exact match
91,USA,Phrase match
91,A,Broad match
91,A,Exact match
91,A,Phrase match
91,B,Broad match
91,B,Exact match
91,B,Phrase match
91,C,Broad match
91,C,Exact match
91,C,Phrase match
92,USA,Broad match
92,USA,Exact match
92,USA,Phrase match
92,A,Broad match
92,A,Exact match
92,A,Phrase match
92,B,Broad match
92,B,Exact match
92,B,Phrase match
92,C,Broad match
92,C,Exact match
92,C,Phrase match
93,USA,Broad match
93,USA,Exact match
93,USA,Phrase match
93,A,Broad match
93,A,Exact match
93,A,Phrase match
93,B,Broad match
93,B,Exact match
93,B,Phrase match
93,C,Broad match
93,C,Exact match
93,C,Phrase match
94,USA,Broad match
94,USA,Exact match
94,USA,Phrase match
94,A,Broad match
94,A,Exact match
94,A,Phrase match
94,B,Broad match
94,B,Exact match
94,B,Phrase match
94,C,Broad match
94,C,Exact match
94,C,Phrase match
95,USA,Broad match
95,USA,Exact match
95,USA,Phrase match
95,A,Broad match
95,A,Exact match
95,A,Phrase match
95,B,Broad match
95,B,Exact match
95,B,Phrase match
95,C,Broad match
95,C,Exact match
95,C,Phrase match
96,USA,Broad match
96,USA,Exact match
96,USA,Phrase match
96,A,Broad match
96,A,Exact match
96,A,Phrase match
96,B,Broad match
96,B,Exact match
96,B,Phrase match
96,C,Broad match
96,C,Exact match
96,C,Phrase match
97,USA,Broad match
97,USA,Exact match
97,USA,Phrase match
97,A,Broad match
97,A,Exact match
97,A,Phrase match
97,B,Broad match
97,B,Exact match
97,B,Phrase match
97,C,Broad match
97,C,Exact match
97,C,Phrase match
98,USA,Broad match
98,USA,Exact match
98,USA,Phrase match
98,A,Broad match
98,A,Exact match
98,A,Phrase match
98,B,Broad match
98,B,Exact match
98,B,Phrase match
98,C,Broad match
98,C,Exact match
98,C,Phrase match
99,USA,Broad match
99,USA,Exact match
99,USA,Phrase match
99,A,Broad match
99,A,Exact match
99,A,Phrase match
99,B,Broad match
99,B,Exact match
99,B,Phrase match
99,C,Broad match
99,C,Exact match
99,C,Phrase match
100,USA,Broad match
100,USA,Exact match
100,USA,Phrase match
100,A,Broad match
100,A,Exact match
100,A,Phrase match
100,B,Broad match
100,B,Exact match
100,B,Phrase match
100,C,Broad match
100,C,Exact match
100,C,Phrase match
101,USA,Broad match
101,USA,Exact match
101,USA,Phrase match
101,A,Broad match
101,A,Exact match
101,A,Phrase match
101,B,Broad match
101,B,Exact match
101,B,Phrase match
101,C,Broad match
101,C,Exact match
101,C,Phrase match
102,USA,Broad match
102,USA,Exact match
102,USA,Phrase match
102,A,Broad match
102,A,Exact match
102,A,Phrase match
102,B,Broad match
102,B,Exact match
102,B,Phrase match
102,C,Broad match
102,C,Exact match
102,C,Phrase match
103,USA,Broad match
103,USA,Exact match
103,USA,Phrase match
103,A,Broad match
103,A,Exact match
103,A,Phrase match
103,B,Broad match
103,B,Exact match
103,B,Phrase match
103,C,Broad match
103,C,Exact match
103,C,Phrase match
104,USA,Broad match
104,USA,Exact match
104,USA,Phrase match
104,A,Broad match
104,A,Exact match
104,A,Phrase match
104,B,Broad match
104,B,Exact match
104,B,Phrase match
104,C,Broad match
104,C,Exact match
104,C,Phrase match
105,USA,Broad match
105,USA,Exact match
105,USA,Phrase match
105,A,Broad match
105,A,Exact match
105,A,Phrase match
105,B,Broad match
105,B,Exact match
105,B,Phrase match
105,C,Broad match
105,C,Exact match
105,C,Phrase match
106,USA,Broad match
106,USA,Exact match
106,USA,Phrase match
106,A,Broad match
106,A,Exact match
106,A,Phrase match
106,B,Broad match
106,B,Exact match
106,B,Phrase match
106,C,Broad match
106,C,Exact match
106,C,Phrase match
107,USA,Broad match
107,USA,Exact match
107,USA,Phrase match
107,A,Broad match
107,A,Exact match
107,A,Phrase match
107,B,Broad match
107,B,Exact match
107,B,Phrase match
107,C,Broad match
107,C,Exact match
107,C,Phrase match
108,USA,Broad match
108,USA,Exact match
108,USA,Phrase match
108,A,Broad match
108,A,Exact match
108,A,Phrase match
108,B,Broad match
108,B,Exact match
108,B,Phrase match
108,C,Broad match
108,C,Exact match
108,C,Phrase match
109,USA,Broad match
109,USA,Exact match
109,USA,Phrase match
109,A,Broad match
109,A,Exact match
109,A,Phrase match
109,B,Broad match
109,B,Exact match
109,B,Phrase match
109,C,Broad match
109,C,Exact match
109,C,Phrase match
110,USA,Broad match
110,USA,Exact match
110,USA,Phrase match
110,A,Broad match
110,A,Exact match
110,A,Phrase match
110,B,Broad match
110,B,Exact match
110,B,Phrase match
110,C,Broad match
110,C,Exact match
110,C,Phrase match
111,USA,Broad match
111,USA,Exact match
111,USA,Phrase match
111,A,Broad match
111,A,Exact match
111,A,Phrase match
111,B,Broad match
111,B,Exact match
111,B,Phrase match
111,C,Broad match
111,C,Exact match
111,C,Phrase match
112,USA,Broad match
112,USA,Exact match
112,USA,Phrase match
112,A,Broad match
112,A,Exact match
112,A,Phrase match
112,B,Broad match
112,B,Exact match
112,B,Phrase match
112,C,Broad match
112,C,Exact match
112,C,Phrase match
113,USA,Broad match
113,USA,Exact match
113,USA,Phrase match
113,A,Broad match
113,A,Exact match
113,A,Phrase match
113,B,Broad match
113,B,Exact match
113,B,Phrase match
113,C,Broad match
113,C,Exact match
113,C,Phrase match
114,USA,Broad match
114,USA,Exact match
114,USA,Phrase match
114,A,Broad match
114,A,Exact match
114,A,Phrase match
114,B,Broad match
114,B,Exact match
114,B,Phrase match
114,C,Broad match
114,C,Exact match
114,C,Phrase match
115,USA,Broad match
115,USA,Exact match
115,USA,Phrase match
115,A,Broad match
115,A,Exact match
115,A,Phrase match
115,B,Broad match
115,B,Exact match
115,B,Phrase match
115,C,Broad match
115,C,Exact match
115,C,Phrase match
116,USA,Broad match
116,USA,Exact match
116,USA,Phrase match
116,A,Broad match
116,A,Exact match
116,A,Phrase match
116,B,Broad match
116,B,Exact match
116,B,Phrase match
116,C,Broad match
116,C,Exact match
116,C,Phrase match
117,USA,Broad match
117,USA,Exact match
117,USA,Phrase match
117,A,Broad match
117,A,Exact match
117,A,Phrase match
117,B,Broad match
117,B,Exact match
117,B,Phrase match
117,C,Broad match
117,C,Exact match
117,C,Phrase match
118,USA,Broad match
118,USA,Exact match
118,USA,Phrase match
118,A,Broad match
118,A,Exact match
118,A,Phrase match
118,B,Broad match
118,B,Exact match
118,B,Phrase match
118,C,Broad match
118,C,Exact match
118,C,Phrase match
119,USA,Broad match
119,USA,Exact match
119,USA,Phrase match
119,A,Broad match
119,A,Exact match
119,A,Phrase match
119,B,Broad match
119,B,Exact match
119,B,Phrase match
119,C,Broad match
119,C,Exact match
119,C,Phrase match
120,USA,Broad match
120,USA,Exact match
120,USA,Phrase match
120,A,Broad match
120,A,Exact match
120,A,Phrase match
120,B,Broad match
120,B,Exact match
120,B,Phrase match
120,C,Broad match
120,C,Exact match
120,C,Phrase match
121,USA,Broad match
121,USA,Exact match
121,USA,Phrase match
121,A,Broad match
121,A,Exact match
121,A,Phrase match
